prod_name,HS6,Balance_mean,q,co_quantity
"Boilers: vapour generating boilers, including hybrid boilers n.e.c. in heading no. 8402",840219,0.153477851,3498.651,536.9654369
"Nickel: wire, of nickel alloys",750522,0.078217379,4859.096,380.0657534
"Slag, ash and residues: (not from the manufacture of iron or steel), containing mainly metals or their compounds, n.e.c. in heading no. 2620",262099,0.003974927,82048.232,326.1357327
"Ceramic wares: for laboratory, chemical or other technical uses, other than articles having a hardness equivalent to 9 or more on the Mohs scale or of porcelain or china",690919,0.028005562,9720.146,272.2181515
Iodides and iodide oxides,282760,0.176049117,1305.32,229.8004334
"Nickel: plates, sheets, strip and foil, of nickel alloys",750620,0.077167219,2830.96,218.4573103
"Air conditioning machines: with motor driven fan and elements for temperature control, parts thereof",841590,0.003371165,62029.928,209.1131222
Ferro-alloys: ferro-silico-chromium,720250,0.058353856,3534.582,206.256489
Boilers: watertube boilers with a steam production exceeding 45t per hour,840211,0.156094604,1306.045,203.8665771
"Steel, stainless: ingots and other primary forms",721810,0.019825607,10017.075,198.5945922
"Machine-tools: for working metal, sintered metal carbides or cermets, without removing material, n.e.c. in heading no. 8463",846390,0.053270744,3382.034,180.1634674
Ores and concentrates n.e.c. in chapter 26: other than antimony,261790,0.078885835,1972.871,155.6315762
"Tools: for working in the hand, with self-contained electric motor: drills of all kinds",846721,0.012803419,11967.546,153.2255058
"Engines: for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines",840710,0.297819622,469.425,139.8039761
Boilers: watertube boilers with a steam production not exceeding 45t per hour,840212,0.153084469,828.357,126.8085915
Parts of electronic integrated circuits,854290,0.186666227,679.118,126.7683947
"Acids: acyclic polycarboxylic acids: oxalic acid, its salts and esters",291711,0.332584775,376.332,125.1622935
Cobalt: waste and scrap,810530,0.260813758,435.649,113.6232529
"Steel, alloy: bars and rods, hot-rolled, in irregularly wound coils, of high speed steel",722710,0.058951223,1872,110.3566895
Sound recording or reproducing apparatus: n.e.c. in heading no 8519,851989,0.083824916,1219.365,102.2131687
"Slag, ash and residues: (not from the manufacture of iron or steel), containing mainly copper",262030,0.002174492,45699.312,99.37278835
"Ceramic wares: for laboratory, chemical or other technical uses, of porcelain or china",690911,0.029086515,2625.471,76.36580162
Cobalt: articles n.e.c. in heading no. 8105,810590,0.157715081,454.788,71.72692626
Aeroplanes and other aircraft: of an unladen weight not exceeding 2000kg,880220,0.199556118,356.507,71.14315296
"Sound recording or reproducing apparatus: using magnetic, optical or semiconductor media, n.e.c. in item no 8519.20, 8519.30 or 8519.50",851981,0.119874775,539.746,64.70193031
Electronic integrated circuits: memories,854232,0.182745587,314.916,57.54950928
"Teleferics, chair-lifts, ski-draglines, traction mechanisms for funiculars",842860,0.002886541,18714.521,54.02023216
"Cutlery: sets of assorted articles (e.g. spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter knives, sugar tongs and similar), not plated with precious metal",821520,0.014927482,3476.996,51.9027952
Ferrous products: remelting scrap ingots,720450,0.000598085,85092.736,50.89268901
"Tools, interchangeable: (for machine or hand tools, whether or not power-operated), for turning",820780,0.050883885,981.404,49.93764827
"Tools, hand: band saw blades",820220,0.01260775,3959.431,49.91951619
"Tools, interchangeable: (for machine or hand tools, whether or not power-operated), for milling",820770,0.050974949,943.36,48.08772789
Compressors: air compressors mounted on a wheeled chassis for towing,841440,0.002806472,15596.512,43.77117423
"Tools, interchangeable: (for machine or hand tools, whether or not power-operated), tools for pressing, stamping or punching",820730,0.004977844,8227.635,40.95588352
"Steel, alloy: flat-rolled, width 600mm or more, cold-rolled",722550,7.18E-05,557507.742,40.02905588
"Steel, alloy: flat-rolled, width less than 600mm, of high speed steel",722620,0.061180279,629.888,38.53672358
"Air conditioning machines: comprising a motor-driven fan and elements for changing the temperature and humidity, of a kind designed to be fixed to a window, wall, ceiling or floor, self-contained or """"split-system"""" ",841510,0.001658052,22660.321,37.57199055
"Ceramic statuettes and other ornamental ceramic articles, of porcelain or china",691310,0.028565745,1276.387,36.46094556
Complex cyanides,283720,0.369373105,93.784,34.64128728
"Household and toilet articles: n.e.c. in heading no. 6911, of porcelain or china",691190,0.028727788,1073.634,30.84312994
"Vehicles: with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity over 2500cc",870333,0.000179395,168667.52,30.25810975
"Printing, copying, and facsimile machines: single-function printing, copying or facsimile machines, not capable of connecting to an automatic data processing machine or to a network",844339,0.00581666,5110.654,29.7269367
Telephones for cellular networks or for other wireless networks,851712,0.014325327,2021.745,28.96215824
"Steel, alloy: flat-rolled, width 600mm or more, hot-rolled, not in coils",722540,4.45E-05,645518.015,28.72555167
"Automatic data processing machines: portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display",847130,0.006328899,4453.44,28.18537196
"Tools: knives and cutting blades, for machines or for mechanical appliances, for metal working",820810,0.093788043,290.654,27.25986985
"Steel, alloy: flat-rolled, width less than 600mm, (excluding silicon-electrical or high speed steel), cold-rolled",722692,0.000539492,46441.203,25.05465749
"Aeroplanes and other aircraft: of an unladen weight exceeding 15,000kg",880240,0.003729927,6130.481,22.8662466
"Printing, copying, and facsimile machines: machines which perform two or more of the functions of printing, copying or facsimile transmission, capable of connecting to an automatic data processing machine or to a network",844331,0.001967215,11018.428,21.67561684
"Ferrous waste and scrap: turnings, shavings, chips, milling waste, sawdust, fillings, trimmings and stampings, whether or not in bundles",720441,3.28E-05,642722.981,21.08131378
"Steel, alloy: bars and rods, hot-rolled, in irregularly wound coils, n.e.c. in heading no. 7227",722790,5.70E-05,341780.268,19.48147528
"Nickel: tubes and pipes, of nickel alloys",750712,0.078005542,245.05,19.11525807
"Steel, alloy: wire, of materials other than silico-manganese steel",722990,0.000202298,93795.879,18.97471873
Turbines: parts of turbo-jets and turbo-propellers,841191,0.007129734,2641.387,18.8323867
"Vehicles: with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1500 but not over 3000cc",870323,1.70E-05,1104539.027,18.77716346
"Printing, copying, and facsimile machines: single-function printing, copying or facsimile machines, capable of connecting to an automatic data processing machine or to a network",844332,0.001981912,9473.464,18.77557198
Ceramic articles n.e.c. in chapter 69: of porcelain or china,691410,0.02838458,661.103,18.76513099
"Metal machines: multi-station transfer machines, for working metal",845730,0.001467015,12628.905,18.52679307
Nickel oxides and hydroxides,282540,0.007102387,2481.161,17.62216563
"Tools, hand: drilling, threading or tapping tools",820510,0.025075335,647.679,16.2407679
"Air conditioning machines: containing a motor driven fan, other than window or wall types, incorporating a refrigerating unit and a valve for reversal of the cooling/heat cycle (reversible heat pumps)",841581,0.001657939,9766.256,16.19185671
Driers: prepared,321100,0.002878695,5350.786,15.4032809
"Tools, interchangeable: (for machine or hand tools, whether or not power-operated), tools for tapping or threading",820740,0.025075797,596.994,14.97010035
"Vehicles: with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity over 1500 but not over 2500cc",870332,1.98E-05,745089.97,14.75278141
"Communication apparatus (excluding telephone sets or base stations): machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",851762,0.001969308,7365.308,14.50455997
"Aeroplanes and other aircraft: of an unladen weight exceeding 2000kg but not exceeding 15,000kg",880230,0.016130059,878.016,14.16244988
Ferrous waste and scrap: of alloy steel (excluding stainless),720429,2.36E-05,552471.947,13.03833795
"Vehicles: with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 1000 but not over 1500cc",870322,2.34E-05,538699.213,12.60556158
"Freezers: of the upright type, not exceeding 900l capacity",841840,0.000401607,28091.569,11.28177075
"Furniture incorporating refrigerating or freezing equipment: for storage and display, n.e.c. in item no. 8418.1, 8418.2, 8418.3 or 8418.4 (chests, cabinets, display counters, show-cases and the like)",841850,0.0001858,60319.591,11.20738001
"Vehicles: compression-ignition internal combustion piston engine (diesel or semi-diesel), for transport of goods, (of a gvw not exceeding 5 tonnes), n.e.c. in item no 8704.1",870421,2.14E-05,505962.151,10.82759003
Refrigerating or freezing equipment: n.e.c. in heading no. 8418,841869,0.000681297,15867.629,10.81056803
"Tools, hand: circular saw blades (including slitting or slotting saw blades), with working part of steel",820231,0.012560493,820.017,10.29981779
"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus: incorporating a colour video display or screen",852872,0.001214324,8449.123,10.25997284
"Machine-tools: way-type unit head machines, for drilling, boring, milling, threading or tapping by removing metal, other than lathes of heading no. 8458",845910,0.008249909,1175.043,9.693997821
"Steel, alloy: bars and rods, hot-rolled, hot-drawn or extruded",722830,2.40E-05,392902.605,9.42966252
"Elevators and conveyors: continuous-action, for goods or materials, n.e.c. in item no. 8428.20, 8428.31, 8428.32 or 8428.33",842839,0.000223327,40444.003,9.032237858
Engines: parts for internal combustion piston engines (excluding spark-ignition),840999,2.25E-05,378051.69,8.506163025
"Air conditioning machines: containing a motor driven fan, other than window or wall types, not incorporating a refrigerating unit",841583,0.00165277,5131.515,8.481214047
"Pumps and compressors: for air, vacuum or gas, n.e.c. in heading no. 8414",841480,0.000109042,75122.461,8.191503392
"Turbines: steam and other vapour turbines, for marine propulsion",840610,0.138779265,58.226,8.080561484
"Vehicles: with both spark-ignition internal combustion reciprocating piston engine and electric motor for propulsion, incapable of being charged by plugging to external source of electric power",870340,8.64E-05,92490.214,7.99115449
"Tools, hand: circular saw blades (including slitting or slotting saw blades), with working part of materials (other than steel)",820239,0.012444412,629.861,7.838249787
"Lamps: portable, electric, designed to function by their own source of energy (excluding lighting equipment of heading no. 8512)",851310,0.002992484,2582.312,7.727527343
Ferrous waste and scrap: n.e.c. in heading no. 7204,720449,1.07E-06,7159825.273,7.661013042
"Machine-tools: sharpening (tool or cutter grinding) machines, numerically controlled",846031,0.005735171,1332.789,7.643772822
"Steel, alloy: bars and rods, cold-formed or cold-finished",722850,5.19E-05,143781.212,7.462244903
"Machine-tools: for drilling by removing metal, numerically controlled",845921,0.011817569,611.111,7.221846409
Lifts and skip hoists,842810,8.46E-05,74542.307,6.306279172
Elevators and conveyors: pneumatic,842820,0.000707713,8719.427,6.17085184
"Vehicles: with only compression-ignition internal combustion piston engine (diesel or semi-diesel), cylinder capacity not over 1500cc",870331,5.28E-05,114970.215,6.070427352
"Catalysts, supported: reaction initiators, reaction accelerators and catalytic preparations, with precious metal or precious metal compounds as the active substance, n.e.c. or included",381512,0.001622529,3518.16,5.708316627
"Lathes: for removing metal, horizontal, numerically controlled",845811,0.000399137,14126.431,5.63838129
"Air conditioning machines: containing a motor driven fan, other than window or wall types, incorporating a refrigerating unit",841582,0.001656396,3280.614,5.433995907
"Sulphides and polysulphides: whether or not chemically defined, other than sulphides of sodium",283090,0.000926648,5543.683,5.137042765
"Television cameras, digital cameras and video camera recorders",852580,0.002983557,1703.083,5.081245206
"Catalysts, supported: reaction initiators, reaction accelerators and catalytic preparations, with nickel or nickel compounds as the active substance, n.e.c. or included",381511,0.002206681,2129.92,4.700053996
"Weaving machines (looms): for weaving fabrics of a width exceeding 30cm, shuttle type, power looms",844621,0.001724884,2720.832,4.693119583
"Tools: plates, sticks, tips and the like for tools, unmounted, of sintered metal carbides or cermets",820900,0.002235634,2082.688,4.656128104
"Machine-tools: flat-surface grinding machines, numerically controlled",846012,0.001167267,3980.512,4.646320301
Base stations,851761,0.003118628,1383.382,4.31425384
"Machine-tools: sawing or cutting-off machines, working by removing metal, sintered metal carbides or cermets",846150,0.001115035,3806.748,4.244657256
"Vehicles: with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",870321,2.23E-05,181799.573,4.054130478
"Machine-tools: sharpening (tool or cutter grinding) machines, other than numerically controlled",846039,0.003721656,1067.408,3.972525388
"Lifting, handling, loading or unloading machinery: n.e.c. in heading no. 8425, 8426, 8427 or 8428",842890,5.04E-05,76646.851,3.86300129
"Freezers: of the chest type, not exceeding 800l capacity",841830,0.000313909,11610.27,3.644568245
"Refractory cements, mortars, concretes and similar compositions: other than products of heading no. 3801",381600,6.85E-06,527686.394,3.614651799
Machine-tools: for honing or lapping,846040,0.003860954,915.624,3.535182145
"Printing machinery: used for printing by means of plates, cylinders and other printing components of heading 84.42, n.e.c. in item no. 8443.1",844319,0.000872693,3872.111,3.379164165
"Elevators and conveyors: continuous-action, for goods or materials, belt type, n.e.c. in item no. 8428.20 or 8428.31",842833,0.00023041,14174.49,3.265944241
"Lathes: for removing metal, other than horizontal or numerically controlled lathes",845899,0.001592399,2037.281,3.244164227
"Machine-tools: for milling by removing metal, not knee-type, other than numerically controlled",845969,0.002574799,1233.646,3.176390487
"Elevators and conveyors: continuous-action, for goods or materials, bucket type, n.e.c. in item no. 8428.20 or 8428.31",842832,0.000757868,4173.191,3.162727917
Pumps: hand or foot-operated air pumps,841420,0.00411519,760.683,3.130355075
"Automatic data processing machines: comprising in the same housing at least a central processing unit and an input and output unit, whether or not combined, n.e.c. in item no. 8471.30",847141,0.000813561,3789.005,3.082586697
Sound recording or reproducing apparatus: turntables (record-decks),851930,0.004912708,614.414,3.018436573
"Cameras, photographic (excluding cinematographic): n.e.c. in heading no 9006",900659,0.01503168,193.108,2.902737661
"Washing machines: household or laundry-type, not fully-automatic, without built-in centrifugal drier, of a dry linen capacity not exceeding 10kg",845019,0.001250081,2285.297,2.856806359
"Vehicles: spark-ignition internal combustion piston engine, for transport of goods, (of a g.v.w. not exceeding 5 tonnes), n.e.c. in item no 8704.1",870431,2.06E-05,138181.007,2.846528744
"Machine-tools: for milling by removing metal, knee-type, other than numerically controlled",845959,0.006453434,434.905,2.806630714
"Tools, interchangeable: (for machine or hand tools, whether or not power-operated), dies for drawing or extruding metal",820720,0.004926578,568.337,2.799956561
"Refrigerators and freezers: combined refrigerator-freezers, fitted with separate external doors, electric or other",841810,3.11E-05,87226.42,2.712741662
Compressors: of a kind used in refrigerating equipment,841430,2.30E-05,113073.778,2.600696894
"Tools, hand: straight saw blades, for working metal",820291,0.00506944,485.646,2.461953258
"Metal: catalysts in the form of wire cloth or grill, of platinum",711510,0.059368804,41.17,2.444213661
"Steel, alloy: flat-rolled, width less than 600mm, (excluding silicon-electrical or high speed steel), hot-rolled",722691,1.57E-05,151698.129,2.381660625
"Magnetic media: cards incorporating a magnetic stripe, whether or not recorded, excluding products of Chapter 37",852321,0.000783933,2921.396,2.29017873
"Elevators and conveyors: continuous-action, for goods and materials, specially designed for underground use, n.e.c. in item no. 8428.20",842831,0.002024588,1111.896,2.251131299
"Vehicles: with both spark-ignition internal combustion reciprocating piston engine and electric motor for propulsion, capable of being charged by plugging to external source of electric power",870360,0.000270042,7934.573,2.142667962
"Refrigerating or freezing equipment: parts thereof, other than furniture",841899,8.23E-05,25415.467,2.091692934
"Washing machines: household or laundry-type, of a dry linen capacity exceeding 10kg",845020,0.000406004,5140.267,2.086968963
Machine-tools: for threading or tapping by removing metal,845970,0.007241317,288.006,2.085542744
"Engines: parts, suitable for use solely or principally with spark-ignition internal combustion piston engines (for other than aircraft)",840991,2.25E-05,88809.932,1.99822347
"Pumps and compressors: parts, of air or vacuum pumps, air or other gas compressors and fans, ventilating or recycling hoods incorporating a fan",841490,4.08E-05,48369.849,1.973489839
"Machine-tools: grinding machines (excluding flat-surface), other than numerically controlled",846029,0.001614995,1212.426,1.958061928
"Communication apparatus (excluding telephone sets or base stations): machines for the transmission or reception of voice, images or other data (including wired/wireless networks), n.e.c. in item no. 8517.6",851769,0.0015084,1296.008,1.954898467
"Vehicles: specially designed for travelling on snow, golf cars and similar vehicles",870310,0.000825114,2348.766,1.937999709
Amplifier sets: electric sound,851850,0.002765743,695.545,1.923698715
"Optical media: recorded, excluding products of Chapter 37",852349,7.05E-05,27029.248,1.905561984
"Ovens: microwave, of a kind used for domestic purposes",851650,0.000139169,13029.253,1.813268111
"Machine-tools: for drilling by removing metal, other than numerically controlled",845929,0.000632865,2857.4,1.808348451
Vehicles: for transport of persons (other than those of heading no. 8702) n.e.c. in heading no. 8703,870390,0.000322049,5233.435,1.685422508
"Lathes: for removing metal, numerically controlled, other than horizontal lathes",845891,0.000588332,2828.535,1.664117654
"Refrigerating or freezing equipment: parts, furniture designed to receive refrigerating or freezing equipment",841891,0.001780611,872.076,1.552828118
Microphones and stands therefor,851810,0.001659678,847.47,1.406527315
"Hoods: ventilating or recycling hoods incorporating a fan, whether or not fitted with filters, having a maximum horizontal side not exceeding 120cm",841460,0.000311927,4383.275,1.367261821
"Refrigerators: household, electric or not, other than compression-type",841829,0.000955444,1422.263,1.35889265
"Wrist-watches: electrically operated, with or without a stop-watch, (other than those of heading no. 9101) with mechanical display only",910211,0.004607696,294.636,1.357593119
Textile machinery: carding machines for preparing textile fibres,844511,0.001318236,1015.044,1.338067542
"Electrical resistors: wirewound variable, including rheostats and potentiometers, for a power handling capacity not exceeding 20W (excluding heating)",853331,0.02736434,47.876,1.310095142
"Vehicles: with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity over 3000cc",870324,1.34E-05,95311.594,1.27717536
"Machine-tools: for deburring, grinding, polishing or otherwise finishing metal, sintered metal carbides or cermets by means of grinding stones, abrasives or polishing products, n.e.c. in heading no. 8460",846090,0.001945332,653.163,1.270618885
"Machine-tools: for milling by removing metal, knee-type, numerically controlled",845951,0.006598923,177.494,1.171269239
"Transmission apparatus for radio-broadcasting or television, whether or not incorporating sound recording or reproducing apparatus, incorporating reception apparatus",852560,0.002350004,493.329,1.159325123
"Machine-tools: flat-surface grinding machines, other than numerically controlled",846019,0.000949604,1218.875,1.157448576
"Magnetic media: other than cards incorporating a magnetic stripe, whether or not recorded, excluding products of Chapter 37",852329,0.001131532,1010.324,1.143213936
"Loudspeakers: single, mounted in their enclosures",851821,0.000102592,10820.823,1.110129873
Textile machinery: combing machines for preparing textile fibres,844512,0.007552704,141.638,1.069749889
Loudspeakers: not mounted in their enclosures,851829,0.000123633,8624.378,1.066257725
"Electrical resistors: wirewound variable, including rheostats and potentiometers, for a power handling capacity exceeding 20W (excluding heating)",853339,0.027239835,37.434,1.019695983
"Machine-tools: planing machines, and other machine-tools n.e.c. in heading no. 8461: working by removing metal, sinistered metal carbides or cerments.",846190,0.001540912,658.742,1.015063453
"Loudspeakers: multiple, mounted in the same enclosure",851822,0.000194282,5169.332,1.00430816
Textile machinery: doubling or twisting machines,844530,0.001640953,597.224,0.980016514
"Washing machines: household or laundry-type, fully-automatic, (of a dry linen capacity not exceeding 10kg)",845011,3.02E-05,31997.804,0.966333681
Telephone sets n.e.c. in item no. 8517.1,851718,0.00150793,626.919,0.945349968
"Knitting machines: circular, with cylinder diameter exceeding 165mm",844712,0.006549339,140.613,0.920922205
"Headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers",851830,0.000473757,1891.497,0.896109944
"Refrigerators: for household use, compression-type, electric or other",841821,5.05E-05,17474.287,0.882451494
"Steel, alloy: flat-rolled, width 600mm or more, hot-rolled, in coils",722530,1.58E-06,545411.942,0.861750868
Heat pumps: other than air conditioning machines of heading no. 8415,841861,0.000211817,3923.709,0.831108269
"Machines: unit construction machines (single station), for working metal",845720,0.005059464,163.063,0.825011378
"Machine-tools: shaping or slotting machines, working by removing metal, sintered metal carbides or cermets",846120,0.003003499,264.823,0.795395616
Textile machinery: involved in textile fibre or textile yarn preparation and n.e.c. in heading no. 8445,844590,0.000340628,2320.828,0.790539
"Machine-tools: grinding machines (excluding flat-surface, cylindrical and centreless), numerically controlled",846024,0.00102351,765.172,0.783161194
"Machine-tools: gear cutting, gear grinding or gear finishing machines, working by removing metal, sintered metal carbides or cermets",846140,0.000602635,1256.626,0.75728681
"Machine-tools: cylindrical grinding machines (excluding flat-surface and centreless), numerically controlled",846023,0.001026906,678.103,0.696348039
"Textile machinery: n.e.c. in heading no. 8445, for preparing textile fibres",844519,0.000329886,2075.066,0.684535222
Circuits: printed,853400,0.000109957,6200.31,0.681767487
"Wrist-watches: electrically operated, with or without a stop-watch, (other than those of heading no. 9101) without mechanical or opto-electronic display",910219,0.004572262,148.946,0.681020136
Slag and ash n.e.c. in chapter 26: including seaweed ash (kelp) but excluding ash and residues from the incineration of municipal waste,262190,1.08E-05,62327.839,0.673140661
"Lathes: for removing metal, horizontal, other than numerically controlled",845819,0.000143515,4552.757,0.653388921
Textile machinery: spinning machines,844520,0.00049362,1304.364,0.643860158
"Textile machinery: for extruding, drawing, texturing or cutting man-made textile materials",844400,0.000133361,4190.539,0.558854472
Textile machinery: winding (including weft-winding) or reeling machines,844540,0.000340041,1582.328,0.538056395
Washing machines: parts for household or laundry-type,845090,0.000111284,4076.038,0.453597813
"Wrist-watches: whether or not incorporating a stop-watch facility, with other than automatic winding",910229,0.00969811,44.094,0.427628462
Line telephone sets with cordless handsets,851711,0.001508479,283.347,0.427422999
"Vacuum cleaners, with self-contained electric motor, of a power not exceeding 1,500 W and having a dust bag or other receptacle capacity not exceeding 20L",850811,6.62E-05,6104.464,0.404115517
Monitors: other than cathode-ray tube: capable of directly connecting to and designed for use with an automatic data processing machine of heading 84.71,852852,4.56E-05,8835.562,0.402901627
"Tricycles, scooters, pedal cars and similar wheeled toys: dolls' carriages: dolls: other toys: reduced-size (scale) models and similar recreational models, working or not: puzzles of all kinds",950300,7.01E-06,56495.472,0.396033259
"Weaving machines (looms): for weaving fabrics of a width exceeding 30cm, shuttle type, other than power looms",844629,0.001877217,206.289,0.387249218
"Telephone sets and other apparatus for the transmission or reception of voice, images or other data, via a wired or wireless network: parts",851770,6.60E-05,5791.388,0.382231608
Pumps: vacuum,841410,8.81E-05,4229.851,0.372649873
